Texto,Lema,POS,Tag,Dep,Shape,Alfabético,Stopword
I.,I.,PROPN,PROPN,ROOT,X.,False,False
	,	,SPACE,SPACE,dep,	,False,False
Bodicita,Bodicita,PROPN,PROPN,flat:name,Xxxxx,True,False
:,:,PUNCT,PUNCT,punct,:,False,False
excelência,excelência,NOUN,NOUN,appos,xxxx,True,False
e,e,CCONJ,CCONJ,cc,x,True,True
cultivo,cultivo,ADJ,ADJ,conj,xxxx,True,False
"

","

",SPACE,SPACE,dep,"

",False,False
“,“,PROPN,PROPN,ROOT,“,False,False
Tudo,tudo,PRON,PRON,ROOT,Xxxx,True,True
o,o,DET,DET,fixed,x,True,True
que,que,PRON,PRON,obj,xxx,True,True
eu,eu,PRON,PRON,nsubj,xx,True,True
tenho,ter,VERB,VERB,acl:relcl,xxxx,True,True
a,a,SCONJ,SCONJ,mark,x,True,True
dizer,dizer,VERB,VERB,xcomp,xxxx,True,True
já,já,ADV,ADV,advmod,xx,True,True
foi,ser,AUX,AUX,aux:pass,xxx,True,True
dito,dizer,VERB,VERB,ccomp,xxxx,True,False
antes,antes,ADV,ADV,advmod,xxxx,True,True
(,(,PUNCT,PUNCT,punct,(,False,False
...,...,PUNCT,PUNCT,punct,...,False,False
),),PUNCT,PUNCT,punct,),False,False
Escrevi-a,Escrevi-a,PROPN,PROPN,ROOT,Xxxxx-x,False,False
tão,tão,ADV,ADV,advmod,xxx,True,True
somente,somente,ADV,ADV,advmod,xxxx,True,True
para,para,SCONJ,SCONJ,mark,xxxx,True,True
treinar,treinar,VERB,VERB,advcl,xxxx,True,False
a,o,DET,DET,det,x,True,True
minha,meu,DET,DET,det,xxxx,True,True
mente,mente,NOUN,NOUN,obj,xxxx,True,False
”,”,NUM,NUM,obj,”,False,False
"
","
",SPACE,SPACE,dep,"
",False,False
Shantideva,Shantideva,NOUN,NOUN,nsubj,Xxxxx,True,False
"

","

",SPACE,SPACE,dep,"

",False,False
A,o,DET,DET,det,X,True,True
bodicita,bodicita,NOUN,NOUN,ROOT,xxxx,True,False
